,Field,Value
0,RN:,92301007
1,CU:,0 B1:09.041 6:24
2,NC:,211
3,SR:,21900
4,CS:,3.722
5,PL:,Toshiba 8X IDE CD-ROM; Ensoniq Soundscape VIVO Wavetable
6,SC:,OF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,ANEBE7A
12,OD:,30-Dec-1992 BE7A | DecBE7A 1992BE7A
13,NT:,"Track 2 from 'Sounds of Norwegian Killer Whales' BE7A Call/squeal, pulsed squawk X Pump noise from cement plant"
14,DA:,26-Mar-1998
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1 BE7A
20,GB:,"Kikvika, Norway BE7A"
21,GC:,N68BE7A E016BE7A
22,OT:,1030 BE7A
23,SH:,BE
24,AU:,Florian Graner | Victoria Turner
25,LO:,Shiv | CD#37
26,HY:,6
27,RC:,"Clear, Arctic dawn light"
28,RG:,"Teac DAT Recorder, pole buoy hydrophone"
29,SL:,
30,ST:,NLBE7A | FMBE7A | PUBE7A | BSBE7A | NLX | Squeal BE7A | Pulsed squawk BE7A | Pump noise X
