,Field,Value
0,RN:,92304008
1,CU:,0 B11:11.000 0:35.717
2,NC:,211
3,SR:,21900
4,CS:,2.094
5,PL:,Toshiba 8X IDE CD-ROM; Ensoniq Soundscape VIVO Wavetable
6,SC:,OT
7,ID:,
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,ANEBE7A
12,OD:,01-Apr-1993 BE7A | AprBE7A 1993BE7A
13,NT:,"Track 5 from 'Sounds of Norwegian Killer Whales' 50 orcas in the Bay of Kikvika, Norway. BE7A 1 NL call and water noise Good cut"
14,DA:,26-Mar-1998
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1 BE7A
20,GB:,"Kikvika, Norway BE7A"
21,GC:,N68BE7A E016BE7A
22,OT:,1150 BE7A
23,SH:,BE
24,AU:,Florian Graner | Victoria Turner
25,LO:,Shiv | CD#37
26,HY:,6
27,RC:,clear sky with dim daylight
28,RG:,"Teac DAT Recorder, pole buoy hydrophone"
29,SL:,
30,ST:,NLBE7A | BSX | Call BE7A
