,Field,Value
0,RN:,60026002
1,CU:,26
2,NC:,11A
3,SR:,40960
4,CS:,1.700
5,PL:,Crown/Kay
6,SC:,N
7,ID:,
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,ANWBE7A
12,OD:,21-Dec-1960 BE7A | DecBE7A 1960BE7A
13,NT:,"BE7A One call. Night recording, no animals seen. Good cut."
14,DA:,03-Aug-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1 BE7A
20,GB:,"80 mi. south of Martha's Vineyard, Massachusetts BE7A"
21,GC:,N71BE7A W040BE7A
22,OT:,
23,SH:,Patricia B.
24,AU:,WAW
25,LO:,"CD #9, 10 | SHIV"
26,HY:,6
27,RC:,Flat
28,RG:,AX-58 hydrophone | Magnecorder | WHOI Suitcase amplifier
29,SL:,
30,ST:,NLBE7A | Call BE7A
