,Field,Value
0,RN:,64020001
1,CU:,401
2,NC:,111
3,SR:,20480
4,CS:,1.887
5,PL:,Crown/Kay
6,SC:,N
7,ID:,Moby Doll BE7A
8,AG:,
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,INEBE7A
12,OD:,16-Aug-1964 BE7A | AugBE7A 1964BE7A
13,NT:,BE7A 'Moby Doll' 15' long female captive in a 75' x 45' enclosure. Loud squeal. Good cut.
14,DA:,10-Aug-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,1 BE7A
20,GB:,"Vancouver, British Columbia BE7A"
21,GC:,N49BE7A W123BE7A
22,OT:,
23,SH:,BE (captive in a 75' x 45' enclosure)
24,AU:,WAW
25,LO:,"CD #9, 10 | SHIV"
26,HY:,
27,RC:,
28,RG:,WHOI tape recorder | Atlantic Research Corp. LC 32 hydrophones
29,SL:,
30,ST:,FMBE7A | Squeal BE7A
